Hour,GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
0,0,7.006768783,862.3872681,90.3700751,168.0235632,0.924392879
1,0,6.543943851,862.6486816,91.16476076,154.8482567,0.750847578
2,0,6.439827334,863.5015259,91.3561318,141.5008222,0.974440634
3,0,6.102376599,863.3250732,90.10543897,128.2337958,1.081579208
4,0,5.716010072,863.2846069,89.0714807,115.1568565,1.048697233
5,0,2.194940488,866.6471558,43.5943116,102.40225,1.054706097
6,0,4.49972573,867.5758667,39.6873709,90.08911579,1.160839081
7,132,9.178568711,868.5759888,37.39840529,78.49043066,1.050863028
8,368,13.2308404,869.5692749,31.06531441,67.97649898,0.514905989
9,533,16.2137148,870.0016479,21.09366915,59.14904964,0.728896439
10,642,17.12015662,869.4292603,20.31024585,52.87175096,1.100136638
11,692,17.03160486,868.7040405,21.81923826,50.1196912,1.197712064
12,668,16.37055231,868.2643433,24.11911039,51.46446054,1.2359308
13,427,15.28668965,867.9588623,26.75265283,56.61372876,1.223931909
14,289,13.67750656,868.0840454,30.6492288,64.66056621,1.09600234
15,236,10.66214051,868.2623901,42.97781577,74.66703614,0.861152351
16,20,6.091595695,868.6306763,69.55710247,85.94138103,0.634636521
17,0,5.229251587,869.0921021,70.66786589,98.03898608,0.607893705
18,0,4.858362862,869.5237427,68.24518852,110.6723682,0.691535652
19,0,4.616331229,869.848938,66.17719287,123.659862,0.521073222
20,0,4.378137197,870.0327148,65.2681757,136.8740288,0.306510001
21,0,4.119335925,869.6242065,63.38558905,150.2080021,0.241111413
22,0,3.891157048,869.1657104,62.07289244,163.4975209,0.332538217
23,0,3.644307244,868.6895752,59.77825216,175.2532841,0.348209172
0,0,3.315719391,868.3181152,58.5553179,168.1105105,0.285600066
1,0,3.080058168,867.9748535,56.10449894,154.9528688,0.192598566
2,0,2.876736613,867.6335449,55.06259112,141.6050556,0.074107088
3,0,2.688076833,867.8259888,52.88323926,128.333001,0.068399988
4,0,2.526383016,868.4416504,52.08566907,115.2482011,0.13660416
5,0,2.38990742,869.243042,51.32636879,102.4662511,0.225991979
6,0,5.098131142,870.1676636,56.34819459,90.14164531,0.327414274
7,166,12.28954762,871.0807495,81.08987498,78.52786168,0.264938831
8,370,12.45108667,872.0192871,56.81536226,67.99355202,0.374480426
9,539,17.80196928,872.2472534,30.94621126,59.13906683,0.804653108
10,655,18.70863682,871.3366699,21.72939811,52.82808815,0.999626398
11,702,18.63130765,870.3153076,23.35686195,50.04003653,1.072309852
12,678,18.12744538,869.7113647,25.54962136,51.35489534,1.002110958
13,584,17.29165691,869.524353,28.23752625,56.48576202,0.870878994
14,431,15.76062575,869.8031616,32.60986807,64.52434665,0.771027088
15,236,12.1930334,870.2093506,52.57708354,74.5287183,0.687504053
16,22,7.645476967,870.8204346,73.13098611,85.80406707,0.422280312
17,0,6.711738599,871.3942261,74.02447662,97.90393625,0.446905106
18,0,6.286697019,871.7069092,71.10775567,110.5400857,0.624640524
19,0,5.948304355,871.7993774,70.51425624,123.5303042,0.488632202
20,0,5.66216572,871.5274048,69.33820247,136.7467041,0.362358123
21,0,5.404170713,870.9883423,68.65089892,150.0815835,0.42330572
22,0,5.252033385,870.2155762,66.55870752,163.3679041,0.5442698
23,0,5.122335345,869.3474731,65.40257938,175.1219673,0.590899706
0,0,4.961168265,868.8771973,63.66136612,168.1742828,0.592396438
1,0,4.811569099,868.6295166,62.70777182,155.0326754,0.578721821
2,0,4.551862991,868.2504272,61.69647525,141.6847558,0.47208184
3,0,4.247054595,868.282959,61.62523567,128.4084788,0.299863011
4,0,3.948251246,868.7595825,61.13639168,115.31701,0.114616044
5,0,3.621325275,869.5810547,61.61983373,102.5260347,0.129393905
6,0,6.31431049,870.262146,70.62886612,90.18948108,0.233032137
7,163,12.97107491,870.8195801,71.10017195,78.55997287,0.305133164
8,364,16.54995727,871.4057617,34.64189578,68.00462079,0.221319467
9,534,18.38524001,871.2382813,28.57463547,59.12239639,0.297736436
10,649,19.3251799,870.0764771,28.14406074,52.77717885,0.509012103
11,697,19.69401643,868.8311768,28.23166787,49.95299169,0.628159046
12,673,19.53411102,867.9231567,29.23048341,51.23841884,0.704048038
13,580,18.77207542,867.1619263,31.43450466,56.35185279,0.703633726
14,428,17.24547746,866.7797241,35.72561257,64.38330322,0.702996731
15,236,13.61559901,866.7705078,54.44975419,74.38661047,0.71515125
16,25,9.072440194,867.1287842,75.08023308,85.66383761,0.621398926
17,0,8.060940811,867.6526489,75.75615625,97.76666867,0.630883396
18,0,7.5161808,868.0413818,74.77967347,110.4061493,0.705558658
19,0,7.072128146,868.4536743,73.86014631,123.3995265,0.721857131
20,0,6.662689732,868.631958,73.49373607,136.6184525,0.823248267
21,0,6.296330533,868.5683594,72.81217003,149.9543129,0.939230561
22,0,5.987521116,868.0238647,72.52256818,163.2369425,1.012085319
23,0,5.717567359,867.3842163,71.29212464,174.9844197,1.060146451
0,0,5.490985385,867.0324097,69.68953033,168.2325961,1.113401651
1,0,5.302090226,866.6981201,67.7252902,155.1087768,1.164684534
2,0,5.070362107,865.9841919,66.11187427,141.7609702,1.180337191
3,0,4.837061092,865.3633423,64.94090206,128.4803376,1.158413529
4,0,4.659800662,864.9281006,63.97960306,115.3819106,1.126861572
5,0,4.502244067,865.1256104,63.70150668,102.5815158,1.081748128
6,0,7.2295247,865.2609863,65.38129141,90.2325547,1.0448879
7,159,13.24865592,865.4472656,65.17840851,78.58672105,0.953985572
8,357,16.04575845,865.8287964,35.67519387,68.00966554,0.903916121
9,524,17.41213359,865.6068726,31.69633579,59.09903039,1.109587669
10,638,17.98097547,864.8204346,32.21131927,52.71903573,1.253099799
11,685,18.12113782,863.8589478,33.60269987,49.85858908,1.324018359
12,663,17.86022023,862.9905396,35.21210483,51.11508535,1.379508734
13,573,17.08633671,862.4225464,37.63293714,56.21207768,1.369724035
14,425,15.65703031,862.0709229,41.44781764,64.23752871,1.309108019
15,236,12.95644325,862.1835938,50.63552268,74.24081268,1.071698546
16,28,8.66719437,862.7852173,71.03426909,85.52078263,0.973620415
17,0,7.275117005,863.8078003,78.36142526,97.62729057,0.901230156
18,0,6.614567515,864.4224243,79.36406703,110.2706613,0.862844229
19,0,6.161240167,864.8867188,79.47602346,123.2676232,0.711395621
20,0,5.829392553,865.3106689,78.49984016,136.4893563,0.581207573
21,0,5.448854016,865.6903076,78.16993401,149.8262551,0.650591195
22,0,5.068604475,865.6708984,77.85317402,163.1046728,0.693249345
23,0,4.770556593,865.6496582,77.39353948,174.8408826,0.691131175
0,0,4.59498353,865.4900513,76.08548289,168.2851462,0.713486612
1,0,4.502697831,865.2810059,73.66341122,155.1809888,0.775000632
2,0,4.422878006,864.7631836,70.86775498,141.8335567,0.788060248
3,0,4.338235759,864.366394,66.67618252,128.5484594,0.742379546
4,0,4.206948774,864.4212036,63.8336673,115.4428035,0.659895182
5,0,4.018702866,864.7821045,60.09578347,102.632612,0.571181118
6,0,6.606025815,865.1182861,64.11843948,90.27073039,0.480000108
7,161,12.42854206,865.4835815,70.00697997,78.60805047,0.183673292
8,363,15.09886916,866.227417,43.13541929,68.00866127,0.466578484
9,535,17.65407434,866.4653931,28.111916,59.06896382,0.834221601
10,652,18.44978344,865.923645,26.74533962,52.6536754,1.114258766
11,701,18.14686024,865.2518311,30.62541871,49.75686562,1.205863714
12,678,17.50704606,864.9579468,35.00050053,50.9849542,1.166680455
13,585,16.5238334,864.9805908,39.42564843,56.06651889,1.050448298
14,434,15.06537779,865.1248169,44.46887383,64.08712244,0.909608483
15,241,12.40922143,865.3931274,56.16589566,74.09143098,0.761073411
16,25,7.928575107,865.7219849,80.56198725,85.3750065,0.619203866
17,0,6.897862164,866.1438599,82.68626193,97.48590881,0.656980634
18,0,6.467861261,866.4351196,81.35770271,110.1337225,0.806166112
19,0,6.088016682,866.5352783,80.7153967,123.1346863,0.73828721
20,0,5.707197778,866.5640259,79.86935933,136.3594945,0.55772233
21,0,5.352405816,866.4196167,79.48092878,149.6974695,0.490590483
22,0,5.032977405,866.1014404,79.42576635,162.9711242,0.56084466
23,0,4.788513339,865.9240723,79.05278136,174.6915726,0.621879876
0,0,4.587853921,865.7930908,78.2830538,168.3316251,0.61993593
1,0,4.412966298,865.6450806,77.20888556,155.2491252,0.592657268
2,0,4.236891961,865.5155029,75.97800412,141.9023727,0.507059097
3,0,4.073494492,865.5552368,74.26468071,128.612727,0.382752985
4,0,3.94397443,865.9831543,71.96845136,115.4995912,0.240230575
5,0,3.857062339,866.6784668,70.3583776,102.6792434,0.111225985
6,0,6.681871844,867.4312134,78.18500103,90.30399428,0.083528198
7,158,12.45512055,868.4282837,86.76213959,78.62392484,0.304192334
8,358,15.6774793,869.3173828,41.45021725,68.00158948,0.547860086
9,528,17.44400048,869.3669434,33.99957087,59.03219592,0.842677176
10,644,18.12635726,868.6360474,33.42650996,52.58111697,1.085249424
11,693,18.10535896,867.9381714,34.51046708,49.64786077,1.191583753
12,672,17.74806183,867.5223999,35.91726379,50.84808776,1.147210479
13,582,17.04858243,867.2420654,37.94042765,55.9152623,1.040208936
14,432,15.74197852,867.1244507,41.4658626,63.93218809,0.930516481
15,242,12.9791743,867.2293701,53.05973191,73.93858067,0.819873512
16,28,8.457447107,867.5076294,76.98704935,85.22664186,0.661808431
17,0,7.414244859,868.0707397,79.55290662,97.34262978,0.562343776
18,0,6.961975448,868.3366699,77.83107317,109.9954325,0.665386856
19,0,6.624056878,868.4666748,76.51740191,123.0008051,0.52595216
20,0,6.344104336,868.5405273,75.46395518,136.2289427,0.29390642
21,0,6.019069593,868.6699219,74.46792652,149.5680109,0.131928653
22,0,5.696591293,868.4100342,74.04327995,162.8363185,0.094613925
23,0,5.442113773,868.3435059,72.87824146,174.5366836,0.099888436
0,0,5.243995251,868.4077759,71.85989321,168.3717226,0.109920822
1,0,5.084231819,868.3931274,70.48227132,155.3129982,0.190839887
2,0,4.909581846,868.4408569,69.63503807,141.9672762,0.234164923
3,0,4.765553229,868.5036621,68.61067634,128.673025,0.180466503
4,0,4.691322971,869.0835571,67.26833788,115.5521783,0.112532981
5,0,4.614961669,869.8501587,65.17878853,102.7213333,0.093991861
6,0,7.504311947,870.4958496,73.302408,90.33229814,0.082366027
7,157,13.29807025,871.3198853,84.99142551,78.6343073,0.095930949
8,358,16.26762858,872.3930054,48.03535787,67.98843122,0.192857847
9,528,18.97877311,872.2836304,28.89512007,58.98873185,0.486594528
10,646,19.87844741,871.2421875,29.02926176,52.50138551,0.815623701
11,697,20.10685242,870.2718506,29.65484247,49.53161827,0.893666208
12,676,19.93580265,869.5999756,31.04100712,50.70455134,0.889771998
13,586,19.23950734,869.211792,33.28203756,55.75839505,0.80195415
14,436,17.79236721,869.0475464,37.48892225,63.77282806,0.744047582
15,245,14.46688633,869.3477783,55.12457162,73.78237031,0.721299291
16,30,9.828730506,869.9223022,76.65864022,85.07579317,0.516701221
17,0,8.761413323,870.5366821,76.99597334,97.19755928,0.477857411
18,0,8.257695001,870.7698364,75.01236655,109.8558893,0.725791216
19,0,7.872917949,870.9726563,74.12042164,122.8660668,0.668904066
20,0,7.517303492,870.9822998,73.58737005,136.0977728,0.456307352
21,0,7.159400717,870.6621704,72.54921451,149.4379291,0.275007427
22,0,6.790354953,870.0808105,72.42813184,162.7002704,0.233333468
23,0,6.46004339,869.6577759,71.7478433,174.3763874,0.301240295
0,0,6.193653149,869.4168701,70.92908924,168.4051288,0.380199552
1,0,5.975637136,869.2678833,70.17343628,155.3724191,0.446116239
2,0,5.750411739,869.0042725,69.52256313,142.0281257,0.466491938
3,0,5.519956028,868.9685059,68.52661958,128.7292394,0.512620986
4,0,5.322909713,869.5372314,67.73084903,115.600472,0.565608859
5,0,5.147692612,870.0385742,66.18617711,102.7588075,0.59605664
6,0,7.980234447,870.3797607,67.8396659,90.35559021,0.59347713
7,161,14.19128931,870.8499146,63.6171024,78.63916321,0.479486316
8,365,17.57997415,871.4225464,39.85304544,67.96917431,0.437507391
9,539,19.04263614,871.34552,27.73873137,58.93857671,0.628248394
10,658,19.81738782,870.2824707,27.0560773,52.41450562,0.800192297
11,709,20.05342716,869.3324585,27.61173624,49.40818167,0.896698296
12,689,19.83262119,868.5257568,28.92953545,50.55441014,0.926820278
13,598,19.08882693,867.8903198,31.07057158,55.59600439,0.927600443
14,448,17.59106689,867.510437,35.33663344,63.60914464,0.907731056
15,254,14.31174356,867.178894,51.05863629,73.62290919,0.832065701
16,33,9.587739519,867.2835693,73.22057607,84.9225634,0.843805373
17,0,8.568851113,867.4956665,73.62915067,97.05080241,0.99957484
18,0,8.136154373,867.8270874,71.44357686,109.7151894,1.120262623
19,0,7.600197767,868.2084351,71.19631949,122.730556,1.088446736
20,0,7.046657205,868.4520874,71.33781271,135.9660532,1.025200725
21,0,6.589043456,868.7709351,71.03476598,149.3072691,1.015926003
22,0,6.172613114,868.4289551,70.61355503,162.562988,1.029688358
23,0,5.767448854,867.9007568,69.81372635,174.2108365,1.030186653
0,0,5.413107347,867.4013062,68.44099724,168.4315358,1.022824883
1,0,5.098202576,867.0567627,66.54965052,155.4271985,1.024731517
2,0,4.808524601,866.8164063,64.31737243,142.0847805,1.043584347
3,0,4.495981684,866.4416504,61.99879816,128.7812581,1.08287394
4,0,4.173772516,866.5969849,59.43741464,115.6443819,1.10543108
5,0,3.79508531,867.2928467,57.32361794,102.7915953,1.122955084
6,0,6.513142474,867.8783569,58.81159757,90.37378834,1.124422908
7,161,12.50621969,868.4712524,49.48221859,78.63845367,1.084813595
8,373,15.56810683,869.3502808,26.57773798,67.94380221,0.984784305
9,535,17.35033895,869.5912476,24.16480559,58.88173969,1.10781765
10,668,18.21346962,869.0890503,24.81126748,52.32050628,1.179938555
11,718,18.48628334,868.3473511,26.41312766,49.27759874,1.216404796
12,696,18.27640127,867.8366089,28.759648,50.39773374,1.193759322
13,604,17.57729271,867.4751587,31.37795974,55.42818184,1.129948974
14,451,16.20764217,867.4059448,35.5397494,63.44124389,1.042007804
15,257,13.26473383,867.4813232,47.90331012,73.46030703,0.909915805
16,37,8.564096919,867.8318481,71.96074737,84.767063,0.829190075
17,0,7.44580087,868.4124146,75.79560384,96.90246346,0.794900179
18,0,6.89329461,868.8067017,74.9178757,109.5734274,0.88591826
19,0,6.481955609,869.1448975,74.13470446,122.5943545,0.902537167
20,0,6.124429029,869.1344604,73.0582078,135.8338489,0.889723957
21,0,5.836199725,868.9828491,71.52790688,149.1760711,0.939608634
22,0,5.593690528,868.517395,69.54491003,162.4244728,1.014362097
23,0,5.384641086,868.0106812,67.20019091,174.0401651,1.081657171
0,0,5.195732123,867.6442871,64.45673848,168.4506402,1.138522625
1,0,4.998903923,867.151123,61.47661257,155.4771471,1.179062724
2,0,4.776549157,866.6516724,58.63684706,142.1371012,1.208945036
3,0,4.492822076,866.3248901,56.45691264,128.828971,1.219131112
4,0,4.107045719,866.3312378,54.97311075,115.6838205,1.199773192
5,0,3.695848122,866.7924805,54.227569,102.819629,1.166773796
6,0,6.522950215,867.4150391,56.65712933,90.38687775,1.124489188
7,155,12.82771441,868.2736816,54.95332945,78.63215821,1.036230087
8,360,16.09626466,869.0899658,26.56645899,67.91231356,0.929644048
9,519,18.12022433,869.2322998,22.22890083,58.81823723,1.06711638
10,619,19.02176071,868.6245728,23.23835986,52.21942236,1.154299021
11,625,19.17847864,867.7469482,25.4900887,49.13992228,1.197722912
12,407,18.76070504,867.0296021,28.29307359,50.23459655,1.189887047
13,356,17.78993973,866.8998413,31.80991722,55.25502387,1.148193955
14,197,16.21009515,867.0797729,36.43715245,63.26923709,1.099584579
15,111,13.35563654,867.1950073,47.39260485,73.29468169,0.981818438
16,13,8.770349272,867.5731201,69.89530681,84.60941442,0.987143278
17,0,7.589425234,868.1309204,74.6154171,96.7526458,1.057147026
18,0,7.175898216,868.5839844,73.764134,109.4306963,1.170424581
19,0,6.840697975,868.8041382,73.14530222,122.4575417,1.220285058
20,0,6.524754973,868.9332886,71.9159987,135.7012212,1.264533997
21,0,6.270666675,868.8095703,69.49302493,149.0443708,1.334658027
22,0,6.069149724,868.4147339,65.22652573,162.2847202,1.413408756
23,0,5.856071405,867.7348022,60.29002512,173.8644911,1.450848699
0,0,5.623446492,867.0841064,55.69187285,168.4621451,1.480747223
