Hour,GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
0,0,18.66083493,861.5175781,100,128.4163306,0.558080196
1,0,18.52429269,861.0148926,100,123.2932086,0.548195422
2,0,18.41068107,860.9041138,100,115.2709633,0.610037982
3,0,18.17744577,861.071228,100,105.2844804,0.627363741
4,0,18.23768007,861.6010742,100,94.02460327,0.751862168
5,15,19.28178604,862.4144287,96.7698225,81.93954002,0.78706044
6,74,21.09657988,862.9559326,88.70891233,69.31550033,0.883676112
7,275,22.3404876,863.1657715,82.53761287,56.33444309,1.006665111
8,438,23.26996312,863.340271,77.75570841,43.12407579,1.089783311
9,426,23.8456348,863.298645,74.01574108,29.79002401,1.128381729
10,456,24.11784602,863.0097656,72.61246997,16.48964206,1.082919717
11,618,24.18266791,862.3818359,72.54951178,4.636434079,1.005647421
12,595,24.05121142,861.8859253,73.38322194,11.80794959,0.945654273
13,568,23.69289955,861.3170776,75.56043713,24.98477209,0.922301054
14,292,23.10258166,860.9707642,79.40330181,38.33466009,0.911338985
15,278,22.35862943,860.9194336,84.11511717,51.60402663,0.911466658
16,339,21.36030553,861.1859741,89.74512159,64.68350305,0.900779009
17,77,20.29939754,861.9172363,97.47695776,77.45776224,0.753539979
18,0,19.9370807,862.6630249,100,89.76514772,0.695818305
19,0,19.97933419,863.2316284,100,101.3740333,0.708106518
20,0,19.83836621,863.6236572,100,111.8934901,0.768813193
21,0,19.70021478,863.8413696,100,120.7308154,0.751168549
22,0,19.48864135,863.6814575,100,127.025553,0.760216296
23,0,19.30239354,863.1967163,100,129.8043488,0.759931386
0,0,19.07746533,862.7706909,100,128.4920648,0.819652677
1,0,18.93413775,862.4932861,100,123.3735296,0.839414775
2,0,18.80907836,862.347229,100,115.3508445,0.762605488
3,0,18.75788502,862.480835,100,105.361495,0.762353659
4,0,18.80312909,862.7049561,100,94.09794994,0.758911073
5,68,19.18515207,863.1580811,99.18743441,82.00916624,0.781160653
6,107,19.8138678,863.6858521,95.35979517,69.38169473,0.843424916
7,149,20.4286542,864.1928711,91.95087403,56.39765168,0.890636861
8,192,20.7927479,864.5159912,90.41785274,43.18498149,1.005803466
9,297,21.20972797,864.3128052,88.05165389,29.84995019,1.129222989
10,343,22.03661014,863.8009033,84.67405207,16.55252859,1.183900952
11,393,23.66820491,862.8650513,80.03737826,4.719086905,1.184497118
12,508,23.94268155,862.074646,79.32729302,11.79403029,1.159044027
13,760,23.64436853,861.3312988,81.75611491,24.96060098,1.156612396
14,745,23.04723349,861.1107788,84.67491008,38.31077013,1.164446592
15,566,22.191554,861.0014038,88.6718336,51.58316889,1.161489844
16,339,21.17618103,861.4929199,92.86323918,64.66726215,1.127220392
17,88,20.22838782,862.4073486,97.97450177,77.44759463,1.022253752
18,0,19.89991014,863.4241943,100,89.76274903,0.878965616
19,0,19.82291765,864.2890625,100,101.3815721,0.898113549
20,0,19.67435469,864.9101563,100,111.9137224,0.855677724
21,0,19.39776351,865.2223511,100,120.7668476,0.807551265
22,0,19.23629071,864.9984741,100,127.079607,0.747162998
23,0,19.00597327,864.751709,100,129.8752689,0.782519281
0,0,18.67164307,864.3150024,100,128.5740553,0.784229994
1,0,18.47193081,864.1087036,100,123.4592154,0.814347386
2,0,18.34277538,863.8969116,100,115.4350854,0.852386057
3,0,18.17431444,863.8917236,100,105.4419532,0.888302326
4,0,18.08194517,864.0566406,99.20851325,94.17397237,0.946523011
5,16,19.46163497,864.4421387,93.62679474,82.08084382,0.894706666
6,106,20.9759742,864.9348145,87.5291875,69.44944189,0.978153288
7,228,22.14318226,865.2615356,82.33554603,56.46202333,1.134214997
