Hour,GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
0,0,18.30311131,866.7219238,100,151.5882494,0.47307691
1,0,18.19225706,866.4373779,100,141.9905227,0.469798565
2,0,18.09052105,866.2612305,100,130.1035522,0.448815078
3,0,17.99318071,866.2643433,100,117.2676352,0.413365901
4,0,17.94156035,866.6914673,100,104.0359744,0.376924098
5,0,18.15930991,867.1559448,100,90.68538904,0.353122205
6,134,19.50840113,867.7644043,99.98678222,77.4297446,0.331749648
7,367,20.60741766,868.1169434,90.4632742,64.48282465,0.380420476
8,572,22.05022404,868.2709961,86.19386337,52.20179359,0.506913722
9,733,22.57799193,867.9743042,81.64715219,41.27840304,0.590300679
10,836,23.08354919,867.3162231,80.4182412,33.15294031,0.689572692
11,847,22.96164683,866.4445801,81.55912018,30.21593285,0.777583301
12,660,22.57392003,865.6749878,83.16724134,33.85666817,0.850396752
13,618,21.99077209,865.1461792,85.23118099,42.40456742,0.882718265
14,482,21.22731349,865.0494995,88.04851848,53.53683,0.862524092
15,102,20.35813135,865.1766968,91.95124698,65.9229598,0.820055664
16,115,19.40166384,865.4520874,98.1183597,78.92591696,0.688455701
17,0,19.03110735,865.9137573,100,92.21587886,0.571284473
18,0,19.12501188,866.5768433,100,105.5757448,0.599994659
19,0,18.9019697,867.0515137,100,118.803911,0.597144723
20,0,18.75213935,867.3466187,100,131.6084054,0.549802899
21,0,18.68768488,867.1691284,100,143.3950118,0.565142035
22,0,18.50338405,866.9290161,100,152.692147,0.600778818
23,0,18.34232719,866.4966431,100,156.2859367,0.629328489
0,0,18.14901669,866.1309204,100,151.880127,0.634413958
1,0,18.06297174,865.8883667,100,142.1906069,0.626162052
2,0,18.04367181,865.8894043,100,130.2492476,0.665428042
3,0,17.98173416,866.2467041,100,117.3848971,0.518620789
4,0,17.88958413,866.6922607,100,104.141129,0.35953927
5,0,17.96324114,867.3794556,100,90.79083483,0.213876054
6,143,18.73826104,868.0728149,100,77.54521645,0.16266872
7,368,20.08734252,868.5020142,97.02766983,64.62116326,0.215536833
8,574,21.11149281,868.6186523,91.99670935,52.37953579,0.419564843
9,735,21.8896136,868.2548218,88.55458217,41.51846038,0.61816746
